city,imageLink,iamgePath,nickName
杭州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/18/1241123_20180518102726_big.jpg,/home/python/Desktop/scrapy2/douyu/images/CoCo巧言儿,CoCo巧言儿
苏州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/07/4885477_20180507172110_big.jpg,/home/python/Desktop/scrapy2/douyu/images/小梨窝吖,小梨窝吖
厦门市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/08/1136526_20180408150537_big.jpg,/home/python/Desktop/scrapy2/douyu/images/Grace小星星,Grace小星星
宜宾市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/20/4462008_20180420033757_big.jpg,/home/python/Desktop/scrapy2/douyu/images/佳佳小仙女呀7,佳佳小仙女呀7
安康市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/23/4629756_20180523000610_big.jpg,/home/python/Desktop/scrapy2/douyu/images/慕槿汐儿,慕槿汐儿
平顶山市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/03/13/3518103_20180313151507_big.jpg,/home/python/Desktop/scrapy2/douyu/images/你的美兮呀,你的美兮呀
娄底市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/16/2585727_20180516123714_big.jpg,/home/python/Desktop/scrapy2/douyu/images/丑丑小喵33,丑丑小喵33
长沙市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/19/4631753_20180519191529_big.jpg,/home/python/Desktop/scrapy2/douyu/images/靖瑤,靖瑤
鱼塘,https://rpic.douyucdn.cn/amrpic-180523/4889437_1739.jpg,/home/python/Desktop/scrapy2/douyu/images/一米是残疾人,一米是残疾人
天津市,https://rpic.douyucdn.cn/live-cover/roomCover/2018/04/10/762a56ef68fe82748c2c3e3bee32be86_small.jpg,/home/python/Desktop/scrapy2/douyu/images/DjVina美不美,DjVina美不美
西安市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/09/3451830_20180509150250_big.jpg,/home/python/Desktop/scrapy2/douyu/images/一颗怂丸子,一颗怂丸子
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/09/4795099_20180509105836_big.jpg,/home/python/Desktop/scrapy2/douyu/images/紫樱红红,紫樱红红
天津市,https://rpic.douyucdn.cn/live-cover/roomCover/2018/05/19/8f281c791aeae206cb4480b6d47629e7_small.jpg,/home/python/Desktop/scrapy2/douyu/images/小芥末a,小芥末a
柳州市,https://rpic.douyucdn.cn/live-cover/roomCover/2018/03/29/48f1cd4ca0f88bd818e0d1cfabbe6c99_small.jpg,/home/python/Desktop/scrapy2/douyu/images/依然萌萌哒小仙女,依然萌萌哒小仙女
南昌市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/14/4885814_20180514151615_big.jpg,/home/python/Desktop/scrapy2/douyu/images/陈小鱼鱼仔,陈小鱼鱼仔
青岛市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/15/4736875_20180515121932_big.jpg,/home/python/Desktop/scrapy2/douyu/images/东霓eva,东霓eva
大连市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/23/2694688_20180523144416_big.jpg,/home/python/Desktop/scrapy2/douyu/images/沐兮兮万岁,沐兮兮万岁
济南市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/25/742994_20180425163633_big.jpg,/home/python/Desktop/scrapy2/douyu/images/o马卡农,o马卡农
吉林市,https://rpic.douyucdn.cn/amrpic-180523/4679785_1739.jpg,/home/python/Desktop/scrapy2/douyu/images/萨萨cay,萨萨cay
重庆市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/19/2121813_20180519130539_big.jpg,/home/python/Desktop/scrapy2/douyu/images/铛铛小萝北,铛铛小萝北
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/03/3755535_20180503151729_big.jpg,/home/python/Desktop/scrapy2/douyu/images/秋瞳emm,秋瞳emm
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/01/4847551_20180501150810_big.jpg,/home/python/Desktop/scrapy2/douyu/images/Kino夏,Kino夏
天津市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/22/1937291_20180522144047_big.jpg,/home/python/Desktop/scrapy2/douyu/images/林烦烦很烦,林烦烦很烦
衡阳市,https://rpic.douyucdn.cn/live-cover/appCovers/2017/11/20/3717880_20171120151043_big.jpg,/home/python/Desktop/scrapy2/douyu/images/肖大宝儿丶,肖大宝儿丶
东营市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/25/4814524_20180425164439_big.jpg,/home/python/Desktop/scrapy2/douyu/images/花豹87,花豹87
葫芦岛市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/14/3242260_20180414161740_big.jpg,/home/python/Desktop/scrapy2/douyu/images/蒙面的小金,蒙面的小金
盐城市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/13/4930210_20180513155648_big.jpg,/home/python/Desktop/scrapy2/douyu/images/m欢心宝宝,m欢心宝宝
咸阳市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/17/4621951_20180417232932_big.jpg,/home/python/Desktop/scrapy2/douyu/images/小琦琦今天没吃饱emm,小琦琦今天没吃饱emm
临沂市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/03/22/4038291_20180322065851_big.jpg,/home/python/Desktop/scrapy2/douyu/images/青霞仙子221,青霞仙子221
北京市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/04/4701588_20180504130528_big.jpg,/home/python/Desktop/scrapy2/douyu/images/珂珂mikooo,珂珂mikooo
重庆市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/20/4753977_20180520174100_big.jpg,/home/python/Desktop/scrapy2/douyu/images/陈豆芽1998,陈豆芽1998
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/16/4727453_20180516193312_big.jpg,/home/python/Desktop/scrapy2/douyu/images/七七甜甜,七七甜甜
鱼塘,https://rpic.douyucdn.cn/amrpic-180523/4903535_1739.jpg,/home/python/Desktop/scrapy2/douyu/images/安橙Shadow,安橙Shadow
中山市,https://rpic.douyucdn.cn/live-cover/roomCover/2018/05/23/e2f3eca9d031fe2de110f18685891db1_small.jpg,/home/python/Desktop/scrapy2/douyu/images/鱼丸鱼丸阿姨,鱼丸鱼丸阿姨
南京市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/03/4874323_20180503185839_big.jpg,/home/python/Desktop/scrapy2/douyu/images/王咩咩吖,王咩咩吖
西安市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/23/3764043_20180423210006_big.jpg,/home/python/Desktop/scrapy2/douyu/images/泠可儿,泠可儿
咸阳市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/14/4543315_20180514160429_big.jpg,/home/python/Desktop/scrapy2/douyu/images/一小只m,一小只m
西安市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/22/4256875_20180422182131_big.jpg,/home/python/Desktop/scrapy2/douyu/images/不会撒娇的沐子C,不会撒娇的沐子C
武汉市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/22/2119151_20180522205640_big.jpg,/home/python/Desktop/scrapy2/douyu/images/萌窘窘,萌窘窘
郑州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/19/4291983_20180519164345_big.jpg,/home/python/Desktop/scrapy2/douyu/images/谢五岁丶,谢五岁丶
苏州市,https://rpic.douyucdn.cn/live-cover/roomCover/2018/05/21/afde991f879d9b340760264e871f3945_small.jpg,/home/python/Desktop/scrapy2/douyu/images/锦鲤sama丶,锦鲤sama丶
阳泉市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/24/772401_20180424155732_big.jpg,/home/python/Desktop/scrapy2/douyu/images/尛鳗魚,尛鳗魚
内江市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/17/2739520_20180517150854_big.jpg,/home/python/Desktop/scrapy2/douyu/images/Baby丿小小丹,Baby丿小小丹
上海市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/16/4092388_20180416000106_big.jpg,/home/python/Desktop/scrapy2/douyu/images/是奶罐呀,是奶罐呀
上海市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/29/4755461_20180429164443_big.jpg,/home/python/Desktop/scrapy2/douyu/images/安心让你心安,安心让你心安
西安市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/21/4248540_20180521134055_big.jpg,/home/python/Desktop/scrapy2/douyu/images/安七七MOMO,安七七MOMO
济南市,https://rpic.douyucdn.cn/amrpic-180523/4725995_1739.jpg,/home/python/Desktop/scrapy2/douyu/images/七七Miyako,七七Miyako
